Overall Rating,Comments,Feedback Category
Very Satisfied,I loved using a promo code and getting  a free book!,
Satisfied,"Lost out on points from previous teacher.  She is gone so we lost her points, bummer.",
Neutral,"I made a mistake last time I ordered and I hope I only ordered 1 book each instead of 1,000.",
Very Satisfied,Added to my order but not submitting it until Friday.,
Neutral,"give  to add to cart w hover, and only add to list or ""more like this""",
Satisfied,I am just not quite sure how to order via the teacher portal.,
Satisfied,"I love ordering from your website, but it can be difficult to navigate between the Parent, Teacher, Kid sites. In my opinion it could be more streamlined.",
Satisfied,"I do not understand why you have to clean out the classroom wishlist??? Unless the book was acquired,  a person would still want it on their wishlist.   I also do not understand WHY you would clear out the class recommendations because those would not change unless the teacher changed grades. It is beyond frustrating that I  have to redo those list every year! It is at a point that I do not even like using those list! PLEASE FIX THIS!!!!",
Neutral,I wish you could send stickers with the Class Codes on them... like in the past.,
Very Satisfied,Live Chat very helpful and effective/effiicient,
Very Satisfied,Very easy to use for a new teacher.  I've always loved scholastic!,
Disappointed,Really sad that I will not be using scholastic again this year due to the $25 minimum free shipping charge. Teachers should not have to pay because not all parents are able to purchase books. We should not have to pay out of pocket or deny students that actually want to buy books because not a lot of classmates parents allow them to.,
Satisfied,I'm not a big fan of having that pop up every time I add something to the cart.  Yikes.  That gets frustrating fast.,
Very Satisfied,I found exactly what my daughter wanted and some more books we may get in the future! I was never able to afford books at the book fair and I want my daughter to have a great experience! Thanks!,
Very Satisfied,I my order qualified for a free book. Awesome,
Satisfied,Ever time I clicked on enter orders it went away before I could click on anything in the drop down menu.,
Satisfied,I wish we would get notifications when a parent places an order online,
Satisfied,"I altered my letter to parents in English.  I also send it out in two additional languages.  Is there any way to translate the edited letter into those additional languages, and not just get the ""standard letter"" translation?  Thanks!",
Satisfied,Just wish you would keep me posted on technology I ordered.,
Neutral,It asked if I would be willing to do a survey when I’m finished but it came up immediately. I had only begun to order! Very frustrating!,
Very Satisfied,"I have been trying to get catalogs sent to my school for my class for about a year, and I haven't received anything.",
Very Satisfied,Thank  you for making it easy to order books for my grandchildren.,
Very Satisfied,5 in recommendations only because everyone I work with already has Scholastic.  :),
Satisfied,i would love to be able to buy single books that are offered in the packages.,
Very Satisfied,Just started my order today. Will finish up and submit Thursday if any more orders come in.,
Neutral,The website was viewed from my iPhone X and it isn’t very user friendly. I could barely zoom out and access certain buttons because it was zoomed in. I’m very tech savvy and was able to figure it out eventually. But this was frustrating.,
Neutral,I had a difficult time finding my class code.,
Very Satisfied,Great site.  Thank you for increasing the bonus point amount on many things.,
Very Satisfied,"Wasn't sure how to complete the free $5 book offer for orders over $25. Called Scholastic. Received excellent help right away, thank you!",
Neutral,I hope shipping is faster than last year.,
Neutral,"I'm not using the online ordering feature this year because Scholastic didn't run credit cards in a timely manner last year and I ended up paying for students orders.  This was Scholastics fault for not running the cards for months, but I'm the one who paid for it.",
Satisfied,"Not really, but with the READS promotion it would be nice just to get a $5.00 discount on any book if it's more than $5.00 to purchase.   At least I could buy a book I want verses getting something my child may not want.  Please consider this as a future option.",
Very Satisfied,Thanks for being a great resource for materials.,
Very Satisfied,I wanted to order a book but unfortunately it was out of stock,
Very Satisfied,It says I have an outstanding balance. I asked the bookkeeper and she said she can't get an invoice from you to pay it.  That would be my only negative.,
Very Satisfied,Figuring out how to get the free book,
Neutral,I wish I could have easily seen the due date for my granddaughter's class so I would have a better idea of the timing involved in getting the books I ordered.,
Very Disappointed,garbage literature.  no classics.,
Very Satisfied,Site was easy enough.  The one suggestion I would have is to be able to change the relationship to the child in the classroom when creating an account.  It only states Parent.  I am not the parent but the grandparent then my sister who will also be creating an account and placing an order is the Aunt.  That's it and thank you!,
Satisfied,I was going to submit an order but the survey came up first.,
Very Satisfied,I used to have an account and my email didnt work anymore had to create a new one.,
Disappointed,"I've been off my account for two years due to a change into virtual setting and now I'm having the hardest time getting back in. I reset my password - after trying to 4 different times - and now can't get into set the due date for the order, as it seems I keep getting put into the parent section rather than educator section, then keep circling back in. I'm frustrated already and haven't even started placing orders or sending out club info to families yet.",
Very Satisfied,Awesome as usual!,
Disappointed,"I was surprised to see more book options in the ""Select the free $5 book"" section than in the regular website. For example, we saw 5 times as many Fly Guy books on that list than on the scrolling carousels. I would prefer a list view instead of the carousels. I would also like to know I'm viewing all the options.",
Satisfied,i was not able to get my free book. i order more than $27 and i was not able to get the $5 book.,
Neutral,Where are the PAPER reminders to PRINT for parents for us to send out with our PAPER FLYERS that you send ever month?  I do not like giving out my parents email addresses to websites as I feel it violates their privacy.  I like to attach a reminder to the top of the paper flyers that go home.  I am disappointed that you have removed that feature.,
Very Satisfied,Love the site!,
Satisfied,Out of stock item,
Very Satisfied,Glad shipping is supposed to be back on track  :),
Satisfied,It wasn't super clear how to connect to my kid's classroom. I would make that a little easier to find....,
Neutral,"The website is a little difficult to navigate to order books. I am trying to find the order status but can't find the order. I clicked on the link for ""check order status"" and it is not being shown.",
Very Satisfied,"It took me a bit to find the ""switch to parent"" account button, as I also have an educator account-but once I found it I was THRILLED! Thank you for making this an option so that I can support my child's teacher and also continue to use my educator account!",
Neutral,The pop ups highlighting certain books was distracting. The overall site navigation feels disjointed.,
Satisfied,Should be easier to find where to connect to a teacher as the child progresses through grades and changes teachers,
Satisfied,"The prices are high compared to Amazon which is disappointing and makes it harder to purchase books here when I can get the same book for $5 less on Amazon. (Dog Man, and Cat Kid Comic club books specifically.)",
Very Satisfied,I would love it if you all can put out more Club Leo flyers not just twice a year. My students really enjoy ordering but are unable to because there are no flyers for every month for Club Leo or Bilingual books.,
Satisfied,"The filters seem to really limit the options! But honestly it's fine. Just happy Scholastic does this - remember the book fairs? Do you guys still do those? My dad would give me a $20 and I felt like a KING on book fair day. Bring those back, man!",
Satisfied,checking out multiple  books for different grade levels... it was a struggle at first.,
Satisfied,Hard time finding the books from the flyer.  I type it into the section on the homepage that says code from flyer but when I hit enter nothing happens.  Sometime hard to find stuff,
Satisfied,Was unable to change my password because I needed to call to change my account from educator to grandparent.,
Very Satisfied,COuldnt put in coupon code for student,
Satisfied,Unable to find where to order,
Very Satisfied,Easy to use site!,
Satisfied,It took a little while to figure out how to get started when I had a class code.,
Satisfied,"It was very easy this year. It was difficult last year, i am happy with it.",
Satisfied,This site is really nice. Please don't change any content of this site. Thank you!,
Neutral,"If one hovers over an item for too long, the item automatically enlarged, and it required an extra step to close it out. That was annoying. it work, but it was annoying.",
Very Satisfied,I didn't see where I would get the $10.00 right now.  Is this add for the parent? It looked like it was for teacher.,
Very Satisfied,this was very easy,
Disappointed,I don’t want to limit my choices based on the child’s age. I would enjoy just scrolling through the books. The newsletters are hard to read on a phone.,
Satisfied,so far so good.  let's see how delivery goes.,
Very Disappointed,"This site is ridiculous, love to participate in  book events and allow child freedom to choose own books of interest. However,  your site is not user friendly to additional funds to an already existing account. User FAQ is not helpful, nor is there a shortcut or specific menu button offered to stream line easy method of payment. Completely annoyed so difficult to find account information to update school and fair information, site continues to route you back in circles! Lover of reading and books, extremely frustrated with website.",
Satisfied,I wish it was easier to locate items other than books in the teacher store.,
Very Satisfied,Great!,
Very Satisfied,The site is very easy to use!,
Neutral,Th teacher did not give us the class code. I am waiting on her to give us the class code and we will enter it before we order the items saved in our cart.,
Very Satisfied,We love Scholastic books!,
Very Satisfied,The bonus points which allow me to buy books for our classroom is an incredible blessing!!!,
Neutral,Just looking for specific books and they were not available.,
Neutral,can not order in apple phone,
Satisfied,I decided to spend some teacher bonus points too. It would be nice to be able to toggle the pages of the bonus points site without going back to the beginning to change from type to type. Like technology to math and stem.,
Very Satisfied,Makes ordering much easier!!!,
Disappointed,I wish the site could keep a list of books I already bought.  I mean I have an account why can't it remember something like that .,
Satisfied,Very user friendly.  I love how parents can order online.,
Neutral,"Our preschool is not getting the SeeSaw flyers we need for out students.  Where can I order them?  Thank you, Valinda Barkley",
Very Satisfied,Nice Experience !!,
Very Satisfied,I had missing books from my order and did a live chat. Jeffery was wonderful and solved the problem right away.  Other teachers at my school site saw my Scholastic box and asked if it took a long time to get my order - I let them know it was quick and they were very excited to put in orders.,
Neutral,I can't find the teacher's recommendations.,
Very Satisfied,"I do think it's a shame they don't do the book fairs like we had when I was a kid, but this is a great site, well designed and works great. Good job to your web developers!",
Very Satisfied,It is so good to be back ordering!  The past 2 years have been awful!,
Very Satisfied,I purposely ordered over $25 to get the free book but the code that the teacher gave and the website shares says it’s expired so I didn’t get my free $5 book. 70097915,
Neutral,I was looking for my younger daughter and now my older daughter wants to add books.,
Very Satisfied,Thank you!,
Disappointed,"The website states that with $25 you can use the code READS for a free book pick, up to $5. I have $25 in my cart and each time I attempt to enter the code READS there's an error box that says the code has expired.",
Disappointed,There needs to be an easier way to see a teacher's wish list and order from there.  It would be so nice to be able to connect to the teacher's wish list and buy a few books from there.  It is not currently user friendly.,
Very Satisfied,"Easy to use website, no issues or errors, smooth experience.",
Satisfied,It would be nice if you could enter items for wishlist and teacher recommendations directly from the flyer page. It is hard to go back and forth from flyer page to order list.,
Neutral,Trouble finding my dashboard,
Very Satisfied,"I appreciate the ease of navigating the scholastic site.  I can easily find the books we are looking for, and I appreciate it is linked to PayPal.",
Satisfied,"I wish I could buy hardback books.  I'd prefer them, and don't mind the additional costs,",
Satisfied,The prices have gone up. There is no discount for ordering online and there is tax. Where is the benefit of ordering online?,
Neutral,The regular scholastic book website is not connected to the scholastic book club flyers/website.,
Very Satisfied,Fast and easy checkout,
Very Satisfied,enjoyed buying,
Very Satisfied,n/a,
Very Satisfied,No feedback.,
Very Satisfied,I like the books,
Satisfied,I was not aware that I couldn't submit student's checks so I had to use my credit card.,
Very Satisfied,"The difficulty I had was when I attempted to refer a friend and it would not accept her email.  I do have one question also.  I wanted to earn the extra 250 bonus points but didn't want to put off ordering, but I would love to see if it's possible.  Her email is: hoschsz@scps.k12.fl.us",
Neutral,The only book set that my daughter wants is out of stock. Who Would Win 26 Book set.,
Very Satisfied,I love Scholastic! Thank you for helping me fill my library with books! :),
Satisfied,"I've been teaching  for many years (since 1986).  The quality of good books has gone down since when I started.  I'd like to see more wholesome, good books.",
Satisfied,Maneuvering between different windows sometimes ended up in the loss of an item.,
Very Satisfied,"I love ordering books and have done this for over 30 years, last year I stopped because of the huge delay in getting orders back, I hope this is better now because I love ordering books for our class and my students love getting them.",
Very Satisfied,You're simply wonderful honey,
Satisfied,"I ordered over $25 so I would qualify for the free book, but a large portion of the choices were online only.",
Very Disappointed,Searched over and over just to locate child's account for her school.,
Very Satisfied,We are hoping this year books will be delivered at a decent time frame.,
Satisfied,I am hoping that the delayed shipping issues from last year are fixed. I love ordering,
Satisfied,but had a huge mess last fall and could not get my parents refunds when they asked me to.,
Satisfied,Please send physical copies of flyers to school address,
Satisfied,I wasn't able to enter my points I spent with my class order. So I had to pay for shipping instead of it being free.,
Neutral,Coupon codes are greatly appreciated to help parents save money.,
Very Satisfied,Love this program!,
Very Disappointed,Can’t find the ewallet anywhere to add more funds. Would think it would be in payment options or billing but no.,
Very Satisfied,It was very easy to uz the app.,
Very Satisfied,great books at good prices,
Very Satisfied,There have been EXTENSIVE shipping delays. This has become such an issue that I haven't ordered from Scholastic in almost a year. Please fix.,
Neutral,"I would much prefer if the teacher had taken my check and not told my child I HAVE to order it on line.  I don't need yet another account and more of my information being shared out.  If this is the route that I am being told I must use, they flyer that comes home should not say to ""Make checks payable to...""",
Neutral,"The pop up to create an account was over the flyer window. The pop ups prevented me from selecting the right year for my daughter's birth from the drop down. If the pop up is active, perhaps there's a way to disable the flyer pop ups.",
Neutral,So easy to find books with the code in the Book Order Form from school.  Glad it was easy to find my teacher too.  I remember the excitement of when book orders came in at school.  Glad my kids can experience the simple joys too - and so easily on my end.,
Disappointed,"I cannot find my ""Teacher Desk"" or anywhere else to submit an order a child has placed. I have clicked everything in the email, everything on the site when I log in, but there is no submit order section....",
Neutral,"It's great you have value packs, but when we have two or more of the books in the pack already, it's not a value. It would be great if the books could also be bought separately.",
Very Satisfied,N/A,
Very Satisfied,I'm really disappointed about paying for shipping if my order is under $25.,
Satisfied,The credit card information kept getting mis-autopopulated with my old cc numbers,
Very Satisfied,Loved it!,
Neutral,Getting to the correct area. It kept taking me to a different digital scholastic website unless all key words were entered.,
Very Disappointed,Order # 69942862 I received the pokemon book but not the money jokes book     There were also two other books a fox book and a spy ninja book for a separate child that aren't showing on my order page now ?,
Very Satisfied,Your customer service representative was so nice and helpful--A+.,
Satisfied,"After clicking into a book to review it further, when I tried to back out to the same spot I was browsing before I couldn't get back to the same spot.",
Very Satisfied,I love Scholastic Books!,
Satisfied,Ordering soon,
Neutral,I don’t think your website is as intuitive as it use to be. I have to long in a few times to actually get to where I want to be now. I use to login once and  everything was right there. I also have a subscription to the magazine for my class but my acc Says I don’t have any subscriptions. I have to login somewhere else to get to that. Not sure why this has changed but it is very frustrating for me. And I have been doing class orders for several years (with a few years off in the middle of that),
Very Satisfied,Thank you!,
Neutral,"There was slight confusion as the scholastic site wasn't recognizing the codes, then an agent directed me toward club.scholastic and it worked fine.  Thanks, didn't know there was a whole different site.",
Very Disappointed,I could not go check the dollar books I put in for cuz they disappeared too. They were  2 -ducklings and 2 of Bunny will not smile!    If you are going to change things it should be in writing!,
Very Disappointed,"Other, I am a Golden apple  teacher and I did not see the thing  for the 400 bonus pts. You use to send them to  us on a special  paper  I’m upset  that something like this can no longer be done retroactive like it COULD in the past.  Also, when I put my picks for my $10  to spend now kept disappearing  and yes I did confirm them!",
Satisfied,Difficult to find EWallet once it's been created for my sons bookfair today.  When I went to go back and check funds after sharing to family members I had trouble finding locating it.,
Satisfied,It says i have an rder but I do not see it.,
Very Satisfied,"I had just told you I never received my package.  I found it, my school messed up and sent it to the wrong room.  So sorry",
Satisfied,"I would like to search for dollar books to purchase for my students but cannot seem to find any, or an easy way to search for them.",
Very Satisfied,"I have been ordering from your company for many years. This year, for some reason, I have not received any catalogs. I came on the site to request catalogs be mailed to me.",
Disappointed,some books on the list  could not be found on the site.,
Satisfied,Bummed that there is a minimum to spend before we can get to the dollar books. Did not used to be that way :(,
Satisfied,The printable letter to families on my Teacher Desk lists a preference for 4th grade reading materials.  I'm currently a 3K Preschool Teacher who manages the Scholastic Ordering for our  K-5 school and early childhood programs (2K - 4K).  Is it possible to change my preferences to early childhood selections?,
Neutral,"I was logged in, but to get my funds from a previous carryover, I had to log in again and had multiple windows open.",
Neutral,"Trying to order what I wanted to buy, kept telling me as a teacher I needed to put students orders on another page",
Disappointed,"Not a very good selection of books.  I've gotten free ""Scholastic"" books from little free libraries and I can't find those titles today on the Scholastic website.  I was looking for Beekle, Susan Verde books, Prince & Knight, Todd Parr, Eric Carle, and LGBTQ+ affirming books.",
Satisfied,The printable letter to parents was giving me a bad route. . unable to do that.   ,
Satisfied,I was also wondering if we were going to get fliers to send home with the students?  I have not received any yet.,
Disappointed,i wanted to order several books but trying to get them in the cart was a pain .,
Satisfied,Student could not use code READS because he paid using his own  money. There should be a code that allows students to order without having to use a credit card.,
Very Satisfied,It was so easy,
Very Satisfied,"I started to place my order, but I am not ready to submit yet.  I will in a day or two.",
Neutral,Have a place to donate to teacher's list of specific books they want for their classroom.,
Satisfied,"Needed to register as Grandparent but not listed.  I have used Scholastic many years as teacher, parent, and now Grandparent.  No need to contact me - it would not let me send without it.  Thanks",
Neutral,I like that shipping is free for online orders but do not like that shipping is so expensive for paper orders under $25. That means I have to turn students away or use my own money for shipping.,
Very Satisfied,"GOOD SELECTION, AND GOT THE BOOKS THAT ADALYNN WANTED.",
Very Satisfied,I like the updated layout.,
Neutral,I placed an order back in 2021 for $29.00. I got word they were back ordered but then school year ended and we never received that order. So I am reluctant to order again.,
Very Satisfied,I have been a Scholastic bookclub supporter as a classroom teacher since 1992.,
Satisfied,"Greate, easy and user-friendly websites, book arrangements. Many thanks",
Satisfied,Need more $1 books.,
Very Satisfied,I found it difficult to find the teacher code to get the update teacher into my son's profile.,
Neutral,"i would like to be able to ship them to my home instead of the school. also, it would be nice to have a link to the 5.00 books to make it easier to browse them for the free offers.",
Neutral,It was very difficult to place the order. I thought that it would have been simpler to just use the Fall 2022 brochure.  I had to type the name of the book to add to the cart.,
Satisfied,"No major difficulties, just started shopping on home page when I should have been on the Book Club page...user error, but easily remedied",
Neutral,The website was very easy to use. No complaints here.,
Neutral,I have left over from last bookfair but under a different teacher and there is no where to apply the funds,
Very Satisfied,I love Scholastic book clubs!,
Disappointed,It wasn't very intuitive.   The fact there is a tutorial video to help people navigate demonstrates it wasn't designed well.   I also don't like the fact I must create an account to shop.,
Very Satisfied,Visiting website to add to my wish list.,
Satisfied,Easy to navigate,
Satisfied,locating teacher page,
Neutral,I cannot find where to entre the Teacher and/or Class code.  Everything is quite confusing and nothing like the flyer.  YOU have to completely start over to order.  It is time consuming and not easy.,
Very Satisfied,Site is very easy to use,
Very Satisfied,Site is very easy to use,
Very Disappointed,We can’t edit shipping address to have the books sent to our house. There is no way to edit. Also it is very difficult to view and navigate through the checkout page in general.,
Satisfied,What happened to the 10 book pack for $10?  I bought those every month,
Very Satisfied,I started placing my order and looked at the monthly specials.  I will place an order next week.,
Very Satisfied,"We had so much trouble last year.  I only ordered one time.  Seems like things are back to the way they were.  If my books arrive on time, I will order each month.  Thank you!",
Disappointed,I selected funding the account with a card in error and wanted to use PayPayl - I couldn't find it after selected credit card.,
Very Satisfied,I'm impressed with how easy it wa,
Neutral,"The site is very confusing. I have used Scholastic in the past and so I signed in. But then it took me to just a parent site rather than my child's teacher. I ended up going to ""book club"" which I guess is different and then that worked.",
Satisfied,I was able to connect my child to her current teacher and I also added items to a  wish list.,
Satisfied,"I've not ordered for a while. I continue to get e-mails from scholastic, yet my account was not found.",
Very Satisfied,"I wish there were more Spanish versions of popular books available, also more value packs at lower price ranges in Spanish.",
Very Satisfied,"Great website! Easy to view, find books and order.",
Very Satisfied,This will be my first order of the year and I'm excited to get started :),
Very Satisfied,Super easy and smooth - thank you,
Neutral,I love that I am able to order books and put together a wish list for future orders.,
Neutral,I couldn't find a way to just go back a page and then I kept finding books I hadn't seen yet. I would have preferred a more comprehensive list of books.,
Very Satisfied,I love this site. It is user friendly and very easy to submit orders.,
Very Satisfied,I love you site and I love that parents can order from here it makes things so much easier!,
Very Satisfied,My grandson loves getting these books and I enjoy ordering them for him.,
Satisfied,Today things went smoothly. It is not a busy time of day.. sunday at 8pm.  Generally  I find the site to be difficult. The search often can be difficult to find what I need.,
Satisfied,"I like the search function however, I don't like that all of the items on the scholastic flyer are not easily found on this site without having to either search directly for it or click on multiple sections.",
Very Satisfied,This is a wonderful way for parents to order great books for their children.,
Very Satisfied,YAH,
Neutral,Im trying to submit my classroom order but  I believe there was a 10 dollar credit for last month and I can't find it.,
Very Disappointed,"To Whom This May Concern,    I will not pay for the shipping on the last order. If I have to pay almost 7 dollars to have two books shipped then please refund the parent back their money.  This is ridiculous.     Sincerely,  Dissatisfied Educator!",
Neutral,"Where did the 10 for 10$ get to? I am very disappointed that you do not offer that any more or even dollar books for teachers to buy. I teach for Head Start and I like to help my families build their home library by sending a book home a month. Some of my students don't even have books at home. I realize that everything in this world is going up, but my salary isn't really going up. I spend my own money to give the children this book.",
Satisfied,"I was searching for the book ""The day the Crayons quit"" and I wasn't able to find it.",
Very Satisfied,Appreciated tutorial on online flyer!,
Very Satisfied,Easy to use and find the books we wanted!,
Satisfied,I would love a wider variety of chapter books for my classroom.,
Very Satisfied,"Your site is very user friendly, very easy to shop and place orders",
Very Satisfied,I'm hoping the delivery of the books will be a lot smoother this year. Last year we had to wait  a long time for books. to arrive,
Very Disappointed,Login was very difficult. This site is unfriendly to use with a password managemer.,
